,0,1,2,3,4,5,6,region
0,construction,clotheing,poultry,maize,repair,hair,event,Africa
1,material,clothee,chicken,plantation,motorcycle,salon,graphic,Africa
2,engineering,shoe,farm,corn,maintenance,hairdresser,music,Africa
3,build,secondhand,cattle,banana,mechanic,barber,tent,Africa
4,hardware,footware,livestock,sorghum,spare,dresser,art,Africa
5,building,dressmaking,egg,cassava,bicycle,hairdressing,paint,Africa
6,cellphone,loinclothe,farming,millet,garage,hairstyle,promotion,Africa
7,beverage,repair,clothee,education,grocery,beauty,restaurant,Asia & Oceania
8,food,car,clotheing,social,retail,salon,cafe,Asia & Oceania
9,court,tire,woman,medical,common,cosmetic,restaurateur,Asia & Oceania
10,samosa,oil,child,child,mini,hairdresser,korean,Asia & Oceania
11,vadapav,auto,clothe,health,supermarket,woman,resto,Asia & Oceania
12,gutka,motor,female,school,food,hair,cafee,Asia & Oceania
13,toffee,vehicle,apparel,kindergarten,distribution,facial,bar,Asia & Oceania
14,beauty,clotheing,art,consultancyancy,energy,construction,agriculture,Europe
15,salon,textile,craft,financial,electrical,building,machinery,Europe
16,hairdresser,clothee,handicraft,consultancying,electronic,build,processing,Europe
17,cosmetic,fashion,graphic,management,heating,work,farmer,Europe
18,hair,woman,paint,accountancy,electricity,industry,rural,Europe
19,hairdressing,sewinging,design,consultancyant,renewable,carpenter,forestry,Europe
20,manicure,child,artist,consultancy,household,roof,agro,Europe
21,repair,food,food,meat,salon,grocery,shoe,North America
22,design,restaurant,dry,fruit,beauty,basket,footwear,North America
23,real,dinner,treat,agriculture,hair,store,perfume,North America
24,computer,fry,health,vegetable,nail,cart,maker,North America
25,workshop,de,,chicken,makeup,cola,catalog,North America
26,estate,truck,,landscape,spa,jose,clothee,North America
27,phone,bar,,stall,unisex,supermarket,purse,North America
28,fastfood,clothee,clotheing,transport,agriculture,restaurant,construction,Latin America & Caribbean
29,bar,secondhand,manufacture,transportation,root,meal,housing,Latin America & Caribbean
30,juice,child,woman,logistics,drone,colombian,architectural,Latin America & Caribbean
31,coffee,year,footwear,freight,barn,bandeja,office,Latin America & Caribbean
32,livestock,baby,man,truck,banana,gastronomy,design,Latin America & Caribbean
33,beer,,retail,essential,grain,steak,remodeling,Latin America & Caribbean
34,food,,shoe,aggregate,dry,pasta,reform,Latin America & Caribbean
