,0,1,2,3,4,5,region
0,breedinging,food,tuckshop,clothesing,plantation,repair,Africa
1,goat,cater,retail,clothese,gardening,transport,Africa
2,chicken,catering,vendor,shoe,maize,maintenance,Africa
3,poultry,oil,grocery,secondhand,vegetable,motor,Africa
4,farm,cook,street,sewing,market,taxi,Africa
5,animal,cereal,small,boutique,tomato,spare,Africa
6,farming,mill,airtime,print,corn,rv,Africa
7,trade,beauty,beverage,construction,child,phone,Asia & Oceania
8,household,furniture,food,workshop,sport,mobile,Asia & Oceania
9,city,salon,coffee,motorcycle,medical,repair,Asia & Oceania
10,hcm,sewing,hookah,material,entertainment,computer,Asia & Oceania
11,province,flower,tea,manufacture,education,appliance,Asia & Oceania
12,grocery,woman,drink,build,health,electronic,Asia & Oceania
13,retail,clothesing,light,car,school,electricity,Asia & Oceania
14,trade,health,restaurant,construction,agriculture,clothesing,Europe
15,food,medical,tourism,design,vegetable,clothese,Europe
16,cleaning,entertainment,cater,interior,fruit,fashion,Europe
17,energy,care,catering,building,livestock,jewelry,Europe
18,retail,training,pub,build,meat,craft,Europe
19,security,therapy,hostelry,machinery,garden,handicraft,Europe
20,social,home,bar,work,grow,shoe,Europe
21,food,art,paint,salon,furniture,shoe,North America
22,grocery,music,automotive,beauty,material,retail,North America
23,restaurant,design,auto,cosmetic,jewelry,catalog,North America
24,chicken,computer,repair,hair,table,merchandise,North America
25,pastry,sport,car,nail,manufacture,online,North America
26,truck,technology,electronic,makeup,fabrication,wholesale,North America
27,cake,school,mechanical,placement,aluminum,selling,North America
28,food,construction,manufacturing,selling,clothese,transport,Latin America & Caribbean
29,pastry,furniture,craft,social,,delivery,Latin America & Caribbean
30,commercialization,maintenance,industrial,network,,homemade,Latin America & Caribbean
31,coffee,material,handicraft,center,,box,Latin America & Caribbean
32,organic,home,machinery,address,,transportation,Latin America & Caribbean
33,wholesale,paint,manufacture,school,,passenger,Latin America & Caribbean
34,homemade,manufacturing,food,advertising,,flyer,Latin America & Caribbean
