,0,1,2,3,4,5,region
0,repair,trade,bar,small,window,cosmetic,Africa
1,car,vegetable,pub,tertiary,open,dress,Africa
2,clothing,chicken,restore,target,provide,manufacture,Africa
3,secondhand,cake,man,,,small,Africa
4,clothes,flour,alcohol,,,trade,Africa
5,woman,raise,beverage,,,,Africa
6,local,rice,drink,,,,Africa
7,repair,contract,green,beauty,trade,commercial,Asia & Oceania
8,car,contracting,house,age,stock,platform,Asia & Oceania
9,woman,,housewingare,woman,auto,open,Asia & Oceania
10,online,,resmle,,online,online,Asia & Oceania
11,clothes,,tech,,,,Asia & Oceania
12,phone,,,,,,Asia & Oceania
13,accessory,,,,,,Asia & Oceania
14,repair,beauty,bar,refuse,online,secondhand,Europe
15,car,salon,pub,detail,,clothes,Europe
16,trade,artist,self,online,,clothing,Europe
17,online,include,outdoor,,,antique,Europe
18,furniture,cosmetic,coffee,,,garment,Europe
19,cleaning,treatment,irish,,,price,Europe
20,individual,female,turn,,,day,Europe
21,car,professional,garage,unwilling,green,medium,Latin America & Caribbean
22,repair,natural,car,provide,restaurant,small,Latin America & Caribbean
23,workshop,medicine,,fair,food,beach,Latin America & Caribbean
24,craft,animal,,specify,,,Latin America & Caribbean
25,home,food,,goods,,,Latin America & Caribbean
26,beauty,,,man,,,Latin America & Caribbean
27,build,,,,,,Latin America & Caribbean
28,repair,profit,firm,great,repair,material,North America
29,small,goods,low,,fix,,North America
30,auto,male,political,,car,,North America
31,beauty,tech,agency,,,,North America
32,restaurant,quality,financial,,,,North America
33,clothes,think,advertising,,,,North America
34,home,price,client,,,,North America
