,0,1,2,3,4,5,region
0,trade,clothing,beer,motorcycle,electronic,vegetable,Africa
1,tertiary,secondhand,softdrink,mechanic,appliance,leafy,Africa
2,egg,clothes,recreational,car,electrical,bean,Africa
3,car,goods,food,repair,hardware,doughnut,Africa
4,family,retail,drink,bicycle,refrigerator,grow,Africa
5,scooter,woman,restaurant,automobile,fix,corn,Africa
6,online,garment,vehicle,maintenance,computer,nut,Africa
7,woman,phone,car,client,fruit,contractor,Asia & Oceania
8,clothes,mobile,motorcycle,industry,vegetable,construction,Asia & Oceania
9,clothing,electronic,workshop,support,juice,building,Asia & Oceania
10,fashion,appliance,tyre,ordinary,farm,material,Asia & Oceania
11,man,computer,repair,transportation,agriculture,build,Asia & Oceania
12,child,repair,garage,remediation,food,renovation,Asia & Oceania
13,shoe,card,spare,administrative,fresh,firm,Asia & Oceania
14,cleaning,car,clothing,social,trade,computer,Europe
15,furniture,garage,clothes,school,online,software,Europe
16,renovation,spare,textile,child,mobile,electronic,Europe
17,repair,repair,woman,professional,internet,technology,Europe
18,office,auto,footwear,construction,app,repair,Europe
19,household,vehicle,fashion,agency,application,information,Europe
20,refurbishment,bicycle,dress,design,game,homeware,Europe
21,apparel,restaurant,phone,car,auto,beauty,North America
22,clothes,bar,computer,tire,body,salon,North America
23,secondhand,small,mobile,spare,paint,hair,North America
24,clothing,family,device,motorcycle,repair,natural,North America
25,shoe,beer,internet,engine,mechanic,skin,North America
26,woman,food,repair,bike,wash,nail,North America
27,footwear,belizean,technology,repair,car,care,North America
28,car,footwear,restaurant,furniture,computer,build,Latin America & Caribbean
29,workshop,clothing,homemade,wood,cellphone,contractor,Latin America & Caribbean
30,mechanic,woman,food,plastic,repair,construction,Latin America & Caribbean
31,motorcycle,clothes,small,wooden,maintenance,civil,Latin America & Caribbean
32,repair,sewing,appliance,woodwork,technical,engineering,Latin America & Caribbean
33,bike,tailor,pastry,handcraft,phone,house,Latin America & Caribbean
34,transport,manufacture,cattle,material,mobile,project,Latin America & Caribbean
