,Topic,Count,region,topic_names,topics
0,-1,1460,North America,"['grocery', 'store', 'convenient', 'motorcycle', 'evertythe', 'convienient', 'somthe', 'sluyrpie', 'environ', 'comunity']","[('grocery', 0.10806315452897577), ('store', 0.0539341675705255), ('convenient', 0.011016396464089652), ('motorcycle', 0.009333293586714496), ('evertythe', 0.007100461378385737), ('convienient', 0.007100461378385737), ('somthe', 0.007100461378385737), ('sluyrpie', 0.007100461378385737), ('environ', 0.006092845185869901), ('comunity', 0.006092845185869901)]"
1,0,324,North America,"['restaurant', 'restaurante', 'situation', 'family', 'escape', 'place', 'enivornment', 'outing', 'reclusive', 'honeymoon']","[('restaurant', 0.19711723776827372), ('restaurante', 0.049016334362191674), ('situation', 0.03301302570829907), ('family', 0.031251547281705955), ('escape', 0.029845217512274754), ('place', 0.02133550375789552), ('enivornment', 0.019236309710367733), ('outing', 0.019236309710367733), ('reclusive', 0.019236309710367733), ('honeymoon', 0.019236309710367733)]"
2,1,185,North America,"['detailed', 'nature', 'sector', 'activity', 'primary', 'base', 'customer', 'product', 'service', 'wellness']","[('detailed', 0.035455468262766056), ('nature', 0.03491304144410671), ('sector', 0.03309921161153756), ('activity', 0.03267546914183849), ('primary', 0.02912646683186601), ('base', 0.0262566442500876), ('customer', 0.022078009210612277), ('product', 0.012767599113585623), ('service', 0.007183277939243768), ('wellness', 0.005508845773956932)]"
3,2,181,North America,"['refuse', 'respondant', 'block', 'answer', '', '', '', '', '', '']","[('refuse', 0.5994525094189453), ('respondant', 0.027620898175943553), ('block', 0.020505166541516854), ('answer', 0.018689069206043567), ('', 1e-05), ('', 1e-05), ('', 1e-05), ('', 1e-05), ('', 1e-05), ('', 1e-05)]"
4,3,148,North America,"['prepared', 'sale', 'food', 'prepare', 'economic', 'meal', 'skewer', 'dinner', 'item', 'domino']","[('prepared', 0.04964893515501421), ('sale', 0.04178496583066984), ('food', 0.02999363141874703), ('prepare', 0.024509081360107605), ('economic', 0.023407540827070805), ('meal', 0.020200403314648528), ('skewer', 0.019580428829376988), ('dinner', 0.017031890099176657), ('item', 0.015489460770657137), ('domino', 0.013639304342661869)]"
5,4,121,North America,"['salon', 'beauty', 'unisex', 'makeup', 'beautician', 'nahir', 'extensions', 'masseuse', 'furnishing', 'canine']","[('salon', 0.17526654182775936), ('beauty', 0.1374065186536567), ('unisex', 0.04660035113874655), ('makeup', 0.019194306248142567), ('beautician', 0.017305784004667746), ('nahir', 0.017305784004667746), ('extensions', 0.017305784004667746), ('masseuse', 0.01484994525588363), ('furnishing', 0.01484994525588363), ('canine', 0.01484994525588363)]"
6,5,117,North America,"['food', 'specify', 'cheap', 'away', 'fuel', 'native', 'animal', 'hotdog', 'baby', 'organic']","[('food', 0.07788262275960363), ('specify', 0.07483777250515905), ('cheap', 0.06295083693765514), ('away', 0.04711530051943756), ('fuel', 0.03481625820497086), ('native', 0.02355765025971878), ('animal', 0.02280325540711248), ('hotdog', 0.022631298746937263), ('baby', 0.015903900574369922), ('organic', 0.015587717402097365)]"
7,6,106,North America,"['bakery', 'baker', 'bresd', 'marlon', 'carnival', 'necessity', 'competition', 'fantasy', 'cupcake', 'basis']","[('bakery', 0.4048844483636761), ('baker', 0.05675527022454154), ('bresd', 0.033070642036317134), ('marlon', 0.033070642036317134), ('carnival', 0.033070642036317134), ('necessity', 0.033070642036317134), ('competition', 0.02837763511227077), ('fantasy', 0.02565462190267453), ('cupcake', 0.02565462190267453), ('basis', 0.023737917142463878)]"
8,7,106,North America,"['bobo', 'multiple', 'stuff', '', '', '', '', '', '', '']","[('bobo', 1.6094379124341005), ('multiple', 1.1552453009332422), ('stuff', 0.5364793041447), ('', 1e-05), ('', 1e-05), ('', 1e-05), ('', 1e-05), ('', 1e-05), ('', 1e-05), ('', 1e-05)]"
9,8,106,North America,"['store', 'food', 'room', 'peltry', 'sausage', 'didn', 'wish', 'flour', 'frozen', 'detail']","[('store', 0.050097939439086255), ('food', 0.04115718033245108), ('room', 0.03474930820069779), ('peltry', 0.02165163110897893), ('sausage', 0.01857907949054499), ('didn', 0.01857907949054499), ('wish', 0.01857907949054499), ('flour', 0.014575670367388214), ('frozen', 0.012076791708006882), ('detail', 0.009486755813102925)]"
